"source_affected","state","years","sample","issue","evidence","action","status","rows_affected","where_fixed","date"
"State election books on SRI microfiche (Internet Archive)","OH;MI;NJ;FL;MS","OH 1990,1992,1994; MI 1994; NJ 1990; FL 1990; MS 1994","HE","House county rows were missing for these state-years. Hand-transcribed from the official state election books on the Internet Archive's Statistical Reference Index microfiche (Ohio Election Statistics; Michigan Bureau of Elections results; NJ Division of Elections results incl. all candidates; Florida Division of Elections results with county absentee ballots; Mississippi certification)","Every table ties to its printed totals; candidate totals equal the FEC / Clerk of the House (Ohio 1990 District 7 ~100 votes per candidate below the FEC, book kept). Florida 1994 from the same collection equals the existing OpenElections rows in all 61 counties (kept as a verification copy)","Added OH 264, MI 83, NJ 21, FL 53, MS 82 county-years (01if-01in *_transcribe.py; 01io build; 01ip apply)","fixed","503 county-years","R/data_creation/01if-01in; 01io_house_county_sri_microfiche.R; 01ip_sri_microfiche_apply.R","2026-09-24"
"Project transcription (01ek) of the New Mexico canvass","NM","1994;1996","HE","New Mexico House 1994 and 1996 county rows were misassigned: 1994 shifted every county column after Grant by one (Harding and Hidalgo taken as blank), 12 of 31 rows wrong; 1996 filed Harding's cells under Guadalupe (134% of the presidential total) and Santa Fe's District 1 cells under San Miguel, and omitted Libertarian Nagel (District 3, 4,097) and District 1's Green and unaffiliated candidates outside Bernalillo","1994 from the state canvassing board canvass on SRI microfiche (all 33 counties); 1996 re-transcribed at 400 dpi with each cell placed by its column header; candidate totals equal the Clerk; 1996 county totals 0.97-1.00 of the presidential totals","Replaced 1994 (31 -> 33 counties, 12 changed) and 1996 (32 -> 33 counties, 19 changed); 01ek now builds 1990 only (01il, 01ir, 01io, 01ip)","replaced","66 county-years","R/data_creation/01il_mississippi_new_mexico_1994_transcribe.py; 01ir_new_mexico_1996_retranscribe.py; 01ek_house_county_new_mexico_scanned_canvass.R","2026-09-24"
"New York State Board of Elections (SRI microfiche)","NY","1990;1992;1994","HE","New York House county rows for 1990-1994 were missing. Hand-transcribed per party line from the Board's 'General Election Vote' books on SRI microfiche (1990 and 1992 items have little or no OCR; read from page images)","Every party line ties to its printed district total and every county column to its printed county TOTAL; candidate totals (all lines) equal the Clerk / FEC. One source misprint allowed: 1994 District 29 printed blank/void and district totals omit Erie's 4,598 blanks (candidate data unaffected)","Added 186 county-years (01ii_new_york_1990_1994_transcribe.py; 01io; 01ip)","fixed","186 county-years","R/data_creation/01ii_new_york_1990_1994_transcribe.py; 01io_house_county_sri_microfiche.R; 01ip_sri_microfiche_apply.R","2026-09-24"
"New Hampshire Department of State (Manual for the General Court, SRI microfiche)","NH","1990;1992","HE","New Hampshire House county rows for 1990 and 1992 were missing. Town-level general-election tables from the 1991 and 1993 Manuals for the General Court, summed to counties. 1994 not built: the 1995 Manual item returned server errors and the 1994 election-results item lacks a District 1 page","Columns tie to the printed district totals; candidate totals equal the FEC","Added 20 county-years (01iq_new_hampshire_1990_1994_transcribe.py; 01io; 01ip)","fixed","20 county-years","R/data_creation/01iq_new_hampshire_1990_1994_transcribe.py; 01io_house_county_sri_microfiche.R; 01ip_sri_microfiche_apply.R","2026-09-24"
"Ohio Secretary of State (archived results pages)","OH","2004;2010","HE","Ohio House county rows for 2004 and 2010 were missing (OpenElections has no 2004 general file and its 2010 file has no party column). They come from the Secretary of State's own results pages as archived by the Wayback Machine (links found by the project lead)","Every candidate column ties to its printed Total; every Democratic and Republican candidate equals the FEC","Added 176 county-years (01is_ohio_2004_2010_parse.py; 01it_house_county_ohio_2004_2010.R; 01iu_ohio_2004_2010_apply.R)","fixed","176 county-years","R/data_creation/01is_ohio_2004_2010_parse.py; 01it_house_county_ohio_2004_2010.R; 01iu_ohio_2004_2010_apply.R","2026-09-24"
"MEDSL","MT","2022","HE","Montana House 2022 county rows were missing: every Montana row in MEDSL's 2022 House file has an empty mode, which 01a reads as NA, and its mode de-duplication then drops all of them. A scan of all MEDSL House/Senate files 2016-2024 found blank modes only in MT House 2022, IN 2018 House/Senate (already replaced from the state's ENR) and NJ 2024 House/Senate","Rows summed to counties directly; all 7 candidate totals equal the FEC","Added 56 county-years (01iv_house_county_montana_2022_medsl.R; 01iw_montana_2022_apply.R)","fixed","56 county-years","R/data_creation/01iv_house_county_montana_2022_medsl.R; 01iw_montana_2022_apply.R","2026-09-24"
"MEDSL","CA;NJ","2022;2024","SE","U.S. Senate: MEDSL's 2022 Senate file has no California rows (58 counties missing); New Jersey 2024 lacked Sussex County (blank-mode rows) and 18 of its 20 other county rows differed from the official results","California from the Secretary of State's Statement of Vote (full-term race; State Totals equal the FEC); New Jersey from the Division of Elections' official list (every candidate ties to its printed Total)","Added CA 2022 (58) and replaced NJ 2024 (21) (02b3_senate_ca_nj_official.R; 01ix_senate_ca_nj_apply.R)","fixed","79 county-years","R/data_creation/02b3_senate_ca_nj_official.R; 01ix_senate_ca_nj_apply.R","2026-09-24"
"Pennsylvania Department of State (precinct returns file)","PA","1994;1996;1998","HE","Pennsylvania House county rows for 1994-1998 were missing. Built from the Department of State's precinct election returns files (2005 extract, supplied by the project lead), summed to counties. Cross-filed Republicans recorded on the Democratic line only (1994: Clinger D5, Shuster D9) are coded Republican from the Clerk","Every major candidate within 1% of the Clerk of the House figure except three districts within 3%: 1994 D7 (Weldon -2.2%, Nichols -1.5%), 1996 D11 (Urban -1.0%), 1998 D3 (Borski +2.6%)","Added 201 county-years (01iy_pennsylvania_1992_1998_parse.py; 01iz_house_county_pennsylvania_1994_1998.R; 01ja_pennsylvania_1994_1998_apply.R)","fixed","201 county-years","R/data_creation/01iy_pennsylvania_1992_1998_parse.py; 01iz_house_county_pennsylvania_1994_1998.R; 01ja_pennsylvania_1994_1998_apply.R","2026-09-24"
"Pennsylvania Department of State (precinct returns file)","PA","1994;1996;1998","HE","Residual differences from the certified district totals in three districts (file is a later database extract): 1994 D7 up to 2.2%, 1996 D11 1.0%, 1998 D3 2.6%; counties in these districts carry these small differences","Comparison with the Clerk of the House statistics in 01iy","Kept; documented","flagged","3 district-years","R/data_creation/01iy_pennsylvania_1992_1998_parse.py","2026-09-24"
"Pennsylvania Department of State (precinct returns file)","PA","1992","HE","Pennsylvania 1992 NOT built from the precinct returns file: 7 of 21 districts differ from the Clerk by more than 1% (District 4 and District 10 about 15% short; McDade's Republican-line votes, about 30,000, are missing), so county shares would be wrong","Comparison with the Clerk of the House 1992 statistics","Not built; 1992 remains a gap until a canvass-based source is found","not_fixed","21 districts","R/data_creation/01iy_pennsylvania_1992_1998_parse.py","2026-09-24"
"Washington Secretary of State (Election Search database)","WA","1990;1992;1994;1996;1998","HE","Washington House county rows for 1990-1998 were missing. Found by a source search: the SOS's older 'Election Search' database (1900-2006) has a county breakdown for every race. Party labels taken from the official lists (the database codes 1998 CD4 Pross as Republican and CD7 Lippmann as Libertarian)","Every candidate's county sum equals the FEC (1990) / Clerk of the House (1992-1998) district total exactly","Added 195 county-years (01jb_washington_1990_1998_reconcile.py; 01jc_house_county_washington_1990_1998.R; 01jd_washington_1990_1998_apply.R)","fixed","195 county-years","R/data_creation/01jb_washington_1990_1998_reconcile.py; 01jc_house_county_washington_1990_1998.R; 01jd_washington_1990_1998_apply.R","2026-09-24"
"North Carolina Secretary of State (North Carolina Manual)","NC","1990","HE","North Carolina House county rows for 1990 were missing. Found by a source search in the North Carolina Manual 1991-1992 (county-by-district tables, pp. 930-933) and hand-transcribed","Columns tie to the printed district totals; every candidate total equals the FEC; D+R equals the FEC district total in all 11 districts (no minor candidates)","Added 100 county-years (01je_north_carolina_1990_transcribe.py; 01jf_house_county_north_carolina_1990.R; 01jg_north_carolina_1990_apply.R)","fixed","100 county-years","R/data_creation/01je_north_carolina_1990_transcribe.py; 01jf_house_county_north_carolina_1990.R; 01jg_north_carolina_1990_apply.R","2026-09-24"
"Arkansas Secretary of State; Delaware Department of Elections","AR;DE","2004;1998","HE","Arkansas 2004 and Delaware 1998 House county rows were missing. Found by a source search: Arkansas SOS 2004 certification report (county blocks, still online); Delaware Department of Elections 1998 results by election district (Wayback), summed to counties with a validated election-district map","Arkansas: county sums equal the certified totals for every candidate (District 4 unopposed, not on the ballot); Delaware: county sums equal the statewide totals; the map reproduces the official 2000 county results exactly","Added AR 46 and DE 3 county-years (01jk_arkansas_2004_delaware_1998_parse.py; 01jl_house_county_ar2004_de1998.R; 01jm_ar2004_de1998_apply.R)","fixed","49 county-years","R/data_creation/01jk_arkansas_2004_delaware_1998_parse.py; 01jl_house_county_ar2004_de1998.R; 01jm_ar2004_de1998_apply.R","2026-09-24"
"New Hampshire Department of State (Manual for the General Court)","NH","1994;1998;2002;2004;2008","HE","New Hampshire House county rows for 1994, 1998, 2002, 2004 and 2008 were missing (the SOS site blocks scripts and the Wayback lacks District 2 files for these years). Found by a source search in the Manual for the General Court town tables; hand-transcribed and summed to counties","Every candidate's town sum equals the printed Totals and the Clerk/FEC, except: 1994 Swett one vote below the Clerk; 1998 District 2 the book's town rows exceed its own printed Totals by 6 (Bass) and 104 (Rauh) - every cell re-read at 600 dpi, kept as printed","Added 50 county-years (01jh, 01ji, 01jj *_transcribe.py; 01jn_house_county_new_hampshire_1994_2008.R; 01jo_new_hampshire_1994_2008_apply.R)","fixed","50 county-years","R/data_creation/01jh_new_hampshire_1994_1998_transcribe.py; 01ji; 01jj; 01jn; 01jo","2026-09-24"
"MEDSL","NY","2016","HE;SE","MEDSL's 2016 precinct files code Yates County (36123) as FIPS 36122, with a blank county name; the release scripts dropped 36122 as a non-county bucket, so Yates was missing from New York's 2016 Senate results (61 of 62 counties, above the 98% threshold of the gaps file, so not listed there)","Every 36122 precinct has jurisdiction 'Yates' (Barrington, Benton, Italy, Jerusalem, Milo, ...); no row in the 2016 files carries 36123. Found by assemble_panel.R during the v1.0.0 release check","Recoded 36122 -> 36123 in 01a's read_precinct_file() and in the stored 2016 MEDSL House and Senate files and the panel. House 2016 was already right (NY BOE source)","fixed","1 county-year (Yates Senate 2016, 9,713 votes)","R/data_creation/01a_election_data_medsl.R; R/data_creation/01jp_medsl_ny_yates_2016_fips_apply.R","2026-09-26"
